timestamp,pelvis_acc_ap,pelvis_acc_ml,pelvis_acc_vertical,pelvis_gyro_yaw,quat_w,quat_x,quat_y,quat_z
0.000,-0.023365,-0.023365,9.786635,-0.023365,1.0,0.0,0.0,0.0
0.010,-0.021164,-0.021164,9.788836,-0.021164,1.0,0.0,0.0,0.0
0.020,-0.022770,-0.022770,9.787230,-0.022770,1.0,0.0,0.0,0.0
0.030,0.006385,0.006385,9.816385,0.006385,1.0,0.0,0.0,0.0
0.040,0.016781,0.016781,9.826781,0.016781,1.0,0.0,0.0,0.0
0.050,-0.007015,-0.007015,9.802985,-0.007015,1.0,0.0,0.0,0.0
0.060,-0.002454,-0.002454,9.807546,-0.002454,1.0,0.0,0.0,0.0
0.070,-0.024081,-0.024081,9.785919,-0.024081,1.0,0.0,0.0,0.0
0.080,0.002582,0.002582,9.812582,0.002582,1.0,0.0,0.0,0.0
0.090,-0.003194,-0.003194,9.806806,-0.003194,1.0,0.0,0.0,0.0
0.100,0.024813,0.024813,9.834813,0.024813,1.0,0.0,0.0,0.0
0.110,0.044663,0.044663,9.854663,0.044663,1.0,0.0,0.0,0.0
0.120,-0.000234,-0.000234,9.809766,-0.000234,1.0,0.0,0.0,0.0
0.130,-0.011664,-0.011664,9.798336,-0.011664,1.0,0.0,0.0,0.0
0.140,-0.000434,-0.000434,9.809566,-0.000434,1.0,0.0,0.0,0.0
0.150,-0.009124,-0.009124,9.800876,-0.009124,1.0,0.0,0.0,0.0
0.160,-0.010329,-0.010329,9.799671,-0.010329,1.0,0.0,0.0,0.0
0.170,0.012448,0.012448,9.822448,0.012448,1.0,0.0,0.0,0.0
0.180,0.001086,0.001086,9.811086,0.001086,1.0,0.0,0.0,0.0
0.190,0.008109,0.008109,9.818109,0.008109,1.0,0.0,0.0,0.0
0.200,-0.021623,-0.021623,9.788377,-0.021623,1.0,0.0,0.0,0.0
0.210,-0.001025,-0.001025,9.808975,-0.001025,1.0,0.0,0.0,0.0
0.220,-0.009166,-0.009166,9.800834,-0.009166,1.0,0.0,0.0,0.0
0.230,0.020045,0.020045,9.830045,0.020045,1.0,0.0,0.0,0.0
0.240,0.005017,0.005017,9.815017,0.005017,1.0,0.0,0.0,0.0
0.250,-0.000571,-0.000571,9.809429,-0.000571,1.0,0.0,0.0,0.0
0.260,-0.001157,-0.001157,9.808843,-0.001157,1.0,0.0,0.0,0.0
0.270,0.006431,0.006431,9.816431,0.006431,1.0,0.0,0.0,0.0
0.280,-0.006827,-0.006827,9.803173,-0.006827,1.0,0.0,0.0,0.0
0.290,-0.013886,-0.013886,9.796114,-0.013886,1.0,0.0,0.0,0.0
0.300,-0.010493,-0.010493,9.799507,-0.010493,1.0,0.0,0.0,0.0
0.310,0.004199,0.004199,9.814199,0.004199,1.0,0.0,0.0,0.0
0.320,0.004275,0.004275,9.814275,0.004275,1.0,0.0,0.0,0.0
0.330,-0.024938,-0.024938,9.785062,-0.024938,1.0,0.0,0.0,0.0
0.340,-0.026487,-0.026487,9.783513,-0.026487,1.0,0.0,0.0,0.0
0.350,0.009088,0.009088,9.819088,0.009088,1.0,0.0,0.0,0.0
0.360,0.001628,0.001628,9.811628,0.001628,1.0,0.0,0.0,0.0
0.370,0.013683,0.013683,9.823683,0.013683,1.0,0.0,0.0,0.0
0.380,0.010416,0.010416,9.820416,0.010416,1.0,0.0,0.0,0.0
0.390,-0.002832,-0.002832,9.807168,-0.002832,1.0,0.0,0.0,0.0
0.400,0.002368,0.002368,9.812368,0.002368,1.0,0.0,0.0,0.0
0.410,0.003015,0.003015,9.813015,0.003015,1.0,0.0,0.0,0.0
0.420,-0.013041,-0.013041,9.796959,-0.013041,1.0,0.0,0.0,0.0
0.430,-0.024562,-0.024562,9.785438,-0.024562,1.0,0.0,0.0,0.0
0.440,0.016213,0.016213,9.826213,0.016213,1.0,0.0,0.0,0.0
0.450,0.005463,0.005463,9.815463,0.005463,1.0,0.0,0.0,0.0
0.460,-0.010637,-0.010637,9.799363,-0.010637,1.0,0.0,0.0,0.0
0.470,0.008102,0.008102,9.818102,0.008102,1.0,0.0,0.0,0.0
0.480,0.001400,0.001400,9.811400,0.001400,1.0,0.0,0.0,0.0
0.490,0.014708,0.014708,9.824708,0.014708,1.0,0.0,0.0,0.0
0.500,0.021376,0.021376,9.831376,0.021376,1.0,0.0,0.0,0.0
0.510,0.026266,0.026266,9.836266,0.026266,1.0,0.0,0.0,0.0
0.520,0.005831,0.005831,9.815831,0.005831,1.0,0.0,0.0,0.0
0.530,0.017628,0.017628,9.827628,0.017628,1.0,0.0,0.0,0.0
0.540,-0.013909,-0.013909,9.796091,-0.013909,1.0,0.0,0.0,0.0
0.550,-0.016989,-0.016989,9.793011,-0.016989,1.0,0.0,0.0,0.0
0.560,-0.018017,-0.018017,9.791983,-0.018017,1.0,0.0,0.0,0.0
0.570,0.002934,0.002934,9.812934,0.002934,1.0,0.0,0.0,0.0
0.580,0.008531,0.008531,9.818531,0.008531,1.0,0.0,0.0,0.0
0.590,-0.003604,-0.003604,9.806396,-0.003604,1.0,0.0,0.0,0.0
0.600,0.003887,0.003887,9.813887,0.003887,1.0,0.0,0.0,0.0
0.610,0.012115,0.012115,9.822115,0.012115,1.0,0.0,0.0,0.0
0.620,-0.000967,-0.000967,9.809033,-0.000967,1.0,0.0,0.0,0.0
0.630,-0.015715,-0.015715,9.794285,-0.015715,1.0,0.0,0.0,0.0
0.640,-0.004638,-0.004638,9.805362,-0.004638,1.0,0.0,0.0,0.0
0.650,0.003844,0.003844,9.813844,0.003844,1.0,0.0,0.0,0.0
0.660,0.015283,0.015283,9.825283,0.015283,1.0,0.0,0.0,0.0
0.670,0.015520,0.015520,9.825520,0.015520,1.0,0.0,0.0,0.0
0.680,0.002202,0.002202,9.812202,0.002202,1.0,0.0,0.0,0.0
0.690,0.016518,0.016518,9.826518,0.016518,1.0,0.0,0.0,0.0
0.700,0.001001,0.001001,9.811001,0.001001,1.0,0.0,0.0,0.0
0.710,0.012911,0.012911,9.822911,0.012911,1.0,0.0,0.0,0.0
